path,name,type,size,parent
../.DS_Store,.DS_Store,file,6148,..
../Homework#7,Homework#7,directory,11209,..
../Homework#7/Seminar_project,Seminar_project,directory,6908,../Homework#7
../Homework#7/Seminar_project/sem_task3.py,sem_task3.py,file,2386,../Homework#7/Seminar_project
../Homework#7/Seminar_project/__init__.py,__init__.py,file,159,../Homework#7/Seminar_project
../Homework#7/Seminar_project/sem_task2.py,sem_task2.py,file,1142,../Homework#7/Seminar_project
../Homework#7/Seminar_project/sem_task1.py,sem_task1.py,file,952,../Homework#7/Seminar_project
../Homework#7/Seminar_project/sem_task4.py,sem_task4.py,file,2269,../Homework#7/Seminar_project
../Homework#7/main.py,main.py,file,703,../Homework#7
../Homework#7/Hm7_package,Hm7_package,directory,3598,../Homework#7
../Homework#7/Hm7_package/__init__.py,__init__.py,file,42,../Homework#7/Hm7_package
../Homework#7/Hm7_package/task1.py,task1.py,file,3556,../Homework#7/Hm7_package
../Homework#8,Homework#8,directory,11291,..
../Homework#8/test_folder,test_folder,directory,307,../Homework#8
../Homework#8/test_folder/notes.py,notes.py,file,307,../Homework#8/test_folder
../Homework#8/test_folder/myfile.txt,myfile.txt,file,0,../Homework#8/test_folder
../Homework#8/task1,task1,directory,1803,../Homework#8
../Homework#8/task1/data.pickle,data.pickle,file,150,../Homework#8/task1
../Homework#8/task1/data.csv,data.csv,file,99,../Homework#8/task1
../Homework#8/task1/task1.py,task1.py,file,1554,../Homework#8/task1
../Homework#8/result.json,result.json,file,1628,../Homework#8
../Homework#8/task3.py,task3.py,file,3650,../Homework#8
../Homework#8/result.pickle,result.pickle,file,605,../Homework#8
../Homework#8/task2.py,task2.py,file,1004,../Homework#8
../Homework#8/Readme.md,Readme.md,file,1596,../Homework#8
../Homework#8/task4.py,task4.py,file,210,../Homework#8
../Homework#8/result.csv,result.csv,file,488,../Homework#8
../HomeWork#1,HomeWork#1,directory,34550,..
../HomeWork#1/Semenar_task,Semenar_task,directory,16773,../HomeWork#1
../HomeWork#1/Semenar_task/Readme.md,Readme.md,file,8286,../HomeWork#1/Semenar_task
../HomeWork#1/Semenar_task/Semenar_task#8.py,Semenar_task#8.py,file,407,../HomeWork#1/Semenar_task
../HomeWork#1/Semenar_task/Semenar_task#9.py,Semenar_task#9.py,file,1407,../HomeWork#1/Semenar_task
../HomeWork#1/Semenar_task/Semenar_task#6.py,Semenar_task#6.py,file,1548,../HomeWork#1/Semenar_task
../HomeWork#1/Semenar_task/Semenar_task#7.py,Semenar_task#7.py,file,5125,../HomeWork#1/Semenar_task
../HomeWork#1/Home_work,Home_work,directory,17777,../HomeWork#1
../HomeWork#1/Home_work/Home_work#1.py,Home_work#1.py,file,3377,../HomeWork#1/Home_work
../HomeWork#1/Home_work/Readme.md,Readme.md,file,7844,../HomeWork#1/Home_work
../HomeWork#1/Home_work/Home_work#2.py,Home_work#2.py,file,2431,../HomeWork#1/Home_work
../HomeWork#1/Home_work/Home_work#3.py,Home_work#3.py,file,4125,../HomeWork#1/Home_work
../Homework#6,Homework#6,directory,9371,..
../Homework#6/Readme.md,Readme.md,file,3855,../Homework#6
../Homework#6/main.py,main.py,file,799,../Homework#6
../Homework#6/Package_HM6,Package_HM6,directory,4717,../Homework#6
../Homework#6/Package_HM6/task2_task3.py,task2_task3.py,file,2800,../Homework#6/Package_HM6
../Homework#6/Package_HM6/__init__.py,__init__.py,file,151,../Homework#6/Package_HM6
../Homework#6/Package_HM6/__pycache__,__pycache__,directory,1096,../Homework#6/Package_HM6
../Homework#6/Package_HM6/__pycache__/task1.cpython-311.pyc,task1.cpython-311.pyc,file,794,../Homework#6/Package_HM6/__pycache__
../Homework#6/Package_HM6/__pycache__/__init__.cpython-311.pyc,__init__.cpython-311.pyc,file,302,../Homework#6/Package_HM6/__pycache__
../Homework#6/Package_HM6/task1.py,task1.py,file,670,../Homework#6/Package_HM6
